studies,rate,alpha,beta,reps,mc,step_size,job,user_time,system_time,elapsed_time,lower,upper,delta,na_lower,mean_lower,med_lower,na_upper,mean_upper,med_upper,min_len,mean_len,med_len,max_len,in_bounds,global_mean_cp,global_na_lower,global_mean_lower,global_median_lower,global_na_upper,global_mean_upper,global_median_upper,global_min_len,global_mean_len,global_median_len,global_max_len
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.264404251805319,0.7303874148613476,0.4659831630560286,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.21722044419170145,0.7783152700940129,0.5610948259023114,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.18652774825751955,0.7262861045563334,0.5397583562988137,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.43641325178690504,0.882707627333974,0.44629437554706897,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.34607781574335994,0.8809063112407669,0.534828495497407,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.40454689103651675,0.8766876768647177,0.47214078582820096,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.3798459123394159,0.8240429765494729,0.444197064210057,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.3606908694210639,0.8756356611911807,0.5149447917701169,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.35623182281784305,0.8480538914678711,0.4918220686500281,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,1,1898.603,0.42400000000000004,1899.228,0.18435516919169392,0.6748511800146554,0.49049601082296146,0,0.3136314176591338,0.3511548192806015,0,0.8097874114174333,0.836048434008672,0.444197064210057,0.4961559937582994,0.4911590397364948,0.5610948259023114,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
10,0.006,8.5,8.5,10,2000,0.02,2,1772.959,0.35,1773.507,0.2244229879768837,0.8079579644040688,0.5835349764271851,0,0.2814224746539405,0.28879275537854904,0,0.7760034837049753,0.8019438895176939,0.4264205834781094,0.4945810090510348,0.5025477266139624,0.5835349764271851,1,0.979,0,0.25188559406315075,0.24191043264192041,0,0.7560009021739986,0.7617571454137324,0.32956883937170334,0.5041153081108478,0.5043140163553431,0.6968364108720048
