Country,Reference,Date.Until,Updated.Numbers.Provided,Total.Confirmed.Cases,Total.Male.Cases,Cases.M.,Total.Female.Cases,Cases.F.,Total.ITU.Admissions,Total.Male.ITU,ITU.M.,Total.Female.ITU,ITU.F.,Total.Deaths,Total.Male.Deaths,Deaths.M.,Total.Female.Deaths,Deaths.F.,Source.Link,Notes
New Zealand,34,26/05/2020,yes,1503,667,47,836,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-current-situation/covid-19-current-cases#gender,
Slovenia,35,25/03/2020,no,562,274,49,288,51,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,https://www.nijz.si/sl/dnevno-spremljanje-okuzb-s-sars-cov-2-covid-19,
England,36,20/05/2020,,145808,66186,NA,77540,NA,NA,NA,NA,NA,NA,31843,18684,NA,13134,NA,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/886696/COVID19_Weekly_Report_20_May.pdf,2082 cases unknown sex; 25 deaths unknown sex
Scotland,37,18/05/2020,,14594,5636,39,8950,61,502,361,NA,141,NA,3546,1791,51,1755,49,https://beta.isdscotland.org/find-publications-and-data/population-health/covid-19/covid-19-statistical-report/   and   https://www.nrscotland.gov.uk/files//statistics/covid19/covid-deaths-report-week-20.pdf,8 cases unknown sex
Pakistan,38,23/05/2020,,57690,44720,NA,12970,NA,NA,NA,NA,NA,NA,1067,NA,76,NA,24,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/covid-19-dashboard_-_20200522.pdf,
Colombia,39,27/05/2020,,24104,13540,NA,10564,NA,NA,NA,NA,NA,NA,803,495,NA,308,NA,https://www.ins.gov.co/Noticias/Paginas/Coronavirus.aspx,
Ecuador,40,26/05/2020,,28700,15964,NA,12736,NA,NA,NA,NA,NA,NA,3221,2139,NA,1082,NA,https://coronavirusecuador.com/data/,
Mexico,41,27/05/2020,,78023,NA,57,NA,43,NA,NA,NA,NA,NA,8597,NA,67,NA,33,https://coronavirus.gob.mx/datos/#DOView,
Thailand,42,24/05/2020,,3040,1654,NA,1386,NA,NA,NA,NA,NA,NA,56,NA,77,NA,23,https://ddc.moph.go.th/viralpneumonia/eng/file/situation/situation-no142-240563.pdf,
Luxembourg,43,27/05/2020,,4001,NA,51,NA,49,NA,NA,NA,NA,NA,110,NA,56,NA,44,https://msan.gouvernement.lu/en/dossiers/2020/corona-virus.html,
Indonesia,44,27/05/2020,,24538,NA,55,NA,45,NA,NA,NA,NA,NA,1496,NA,63,NA,37,https://covid19.go.id/peta-sebaran,
Dominican Republic,45,26/05/2020,,15723,8576,NA,7147,NA,NA,NA,NA,NA,NA,474,332,NA,142,NA,https://www.msp.gob.do/web/?page_id=6948,
Argentina,46,27/05/2020,,13920,7091,NA,6784,NA,NA,NA,NA,NA,NA,496,294,NA,202,NA,https://www.argentina.gob.ar/salud/coronavirus-COVID-19/sala-situacion,45 cases unknown sex
Northern Ireland,47,22/05/2020,,4565,1747,NA,2750,NA,NA,NA,NA,NA,NA,504,260,52,243,48,https://app.powerbi.com/view?r=eyJrIjoiZGYxNjYzNmUtOTlmZS00ODAxLWE1YTEtMjA0NjZhMzlmN2JmIiwidCI6IjljOWEzMGRlLWQ4ZDctNGFhNC05NjAwLTRiZTc2MjVmZjZjNSIsImMiOjh9,68 cases and 1 death unknown sex. Total is m&f&unknown which is different to the total given in one graph of cumulative positive cases in the source.
Ghana,48,01/06/2020,,8070,NA,60,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ghanahealthservice.org/covid19/,
Somalia,49,01/06/2020,,1976,NA,72,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://moh.gov.so/en/covid19/,
Sierra Leone,50,27/05/2020,,829,410,NA,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://mohs.gov.sl/2020/05/27/sierra-leone-covid-19-update/,
Haiti,51,30/05/2020,,2124,NA,59.8,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://mspp.gouv.ht/site/downloads/Sitrep%20COVID-19_30-05-2020.pdf,
Jamaica,52,31/05/2020,,586,248,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.moh.gov.jm/covid-19-update-21-more-jamaicans-recovered/,
Nigeria,53,30/05/2020,,9855,6631,NA,3224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ncdc.gov.ng/diseases/sitreps/?cat=14&name=An%20update%20of%20COVID-19%20outbreak%20in%20Nigeria,
Bangladesh,54,01/06/2020,,49534,NA,71,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.iedcr.gov.bd/index.php/component/content/article/73-ncov-2019,
New York State,55,20/05/2020,,354370,NA,51.2,NA,48.3,NA,NA,NA,NA,NA,22976,13352,NA,9615,NA,https://covid19tracker.health.ny.gov/views/NYS-COVID19-Tracker/NYSDOHCOVID-19Tracker-Map?%3Aembed=yes&%3Atoolbar=no&%3Atabs=n,0.6% cases and 9 deaths unknown sex
Texas,56,21/05/2020,,14456,7583,NA,6593,NA,NA,NA,NA,NA,NA,489,268,54.8,190,38.9,https://www.dshs.state.tx.us/coronavirus/,280(1.9%)cases unknown sex; 31(6.3%) deaths unknown sex
Illinois,57,21/05/2020,,102686,48821,47.5,51690,50.3,NA,NA,NA,NA,NA,4607,2560,55.6,2042,44.3,http://www.dph.illinois.gov/covid19/covid19-statistics,2175(2.12%)cases unknown sex; 5(0.1%)deaths unknown sex
Pennsylvania,58,22/05/2020,,66258,29153,NA,36420,NA,NA,NA,NA,NA,NA,4984,2406,NA,2578,NA,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Archives.aspx,685 cases unknown sex
Massachusetts,59,18/05/2020,,90084,39658,NA,49077,NA,NA,NA,NA,NA,NA,6148,2954,48.1,3189,51.9,https://www.mass.gov/doc/covid-19-dashboard-may-21-2020/download,1349 cases and 5 deaths unknown sex
New Jersey,60,20/05/2020,,151472,75073,49.6,75691,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.nj.gov/health/cd/documents/topics/NCOV/COVID_Confirmed_Case_Summary.pdf,708 cases unknown sex
Michigan,61,21/05/2020,,53510,NA,47,NA,53,NA,NA,NA,NA,NA,5129,NA,53,NA,47,https://www.michigan.gov/coronavirus/0;9753;7-406-98163_98173---;00.html,
California,62,20/05/2020,,86197,43450,NA,42252,NA,NA,NA,NA,NA,NA,3542,1926,56,1521,44,https://public.tableau.com/views/COVID-19PublicDashboard/Covid-19Public?:embed=y&:display_count=no&:showVizHome=no,495 cases unknown sex
Washington,63,20/05/2020,,19117,NA,46,NA,52,NA,NA,NA,NA,NA,1044,NA,55,NA,45,https://www.doh.wa.gov/Emergencies/NovelCoronavirusOutbreak2020COVID19/DataDashboard,2% cases unknown sex
Louisiana,64,21/05/2020,,36504,NA,40,NA,55,NA,NA,NA,NA,NA,2506,NA,54.4,NA,45.6,http://ldh.la.gov/Coronavirus/,5% cases unknown sex
Maryland,65,22/05/2020,,44424,21283,NA,23141,NA,NA,NA,NA,NA,NA,2092,1054,NA,1038,NA,https://coronavirus.maryland.gov/,
Virginia,66,22/05/2020,,34950,17285,NA,17425,NA,NA,NA,NA,NA,NA,1136,573,NA,560,NA,https://www.vdh.virginia.gov/coronavirus/,240 cases unknown sex; 3 deaths unknown sex
North Carolina,67,22/05/2020,,21262,NA,49,NA,51,NA,NA,NA,NA,NA,727,NA,52,NA,48,https://covid19.ncdhhs.gov/dashboard/cases,"356 cases and 1 death unknown sex, subtracted in first case total column here in order to calculate numbers from the percentages m&f"
South Carolina,68,22/05/2020,,9638,NA,42.2,NA,55.4,NA,NA,NA,NA,NA,419,NA,52,NA,48,https://www.scdhec.gov/infectious-diseases/viruses/coronavirus-disease-2019-covid-19/sc-demographic-data-covid-19,2.4% case unknown sex
Alabama,69,29/05/2020,,16530,6800,NA,9600,NA,NA,NA,NA,NA,NA,591,319,NA,270,NA,https://covid19.alabama.gov/#live-updates,130 cases and 2 deaths unknown sex
Mississippi,70,27/05/2020,,12147,4915,NA,7232,NA,NA,NA,NA,NA,NA,693,341,NA,352,NA,https://msdh.ms.gov/msdhsite/_static/14;0;420.html#Mississippi,
Ohio,71,29/05/2020,,31625,NA,52,NA,47,NA,NA,NA,NA,NA,2098,1092,NA,1004,NA,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/key-metrics/cases,1% cases and 2 deaths unknown sex
Arkansas,72,29/05/2020,,6538,3906,NA,2615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://experience.arcgis.com/experience/c2ef4a4fcbe5458fbf2e48a21e4fece9,17 cases unknown sex
Indiana,73,29/05/2020,,33068,15230,NA,17040,NA,NA,NA,NA,NA,NA,1907,954,NA,904,NA,https://hub.mph.in.gov/dataset/covid-19-case-demographics/resource/2538d7f1-391b-4733-90b3-9e95cd5f3ea6,798 cases and 49 deaths unknown sex
Wisconsin,74,29/05/2020,,16974,NA,51,NA,49,NA,NA,NA,NA,NA,550,312,NA,238,NA,https://www.dhs.wisconsin.gov/covid-19/cases.htm,
Minnesota,75,28/05/2020,,22947,11051,NA,11433,NA,NA,NA,NA,NA,NA,967,492,NA,465,NA,https://www.health.state.mn.us/diseases/coronavirus/stats/covidweekly22.pdf,463 cases and 10 deaths unknown sex
Florida,76,28/05/2020,,51918,25611,NA,26262,NA,NA,NA,NA,NA,NA,2446,1372,NA,1074,NA,https://floridadisaster.org/globalassets/covid19/dailies/covid-daily-report-5.28.20-compressed.pdf,45 cases unknown sex
Kentucky,77,29/05/2020,,9185,NA,47.12,NA,50.17,NA,NA,NA,NA,NA,409,181,44.25,228,55.75,https://kygeonet.maps.arcgis.com/apps/opsdashboard/index.html#/543ac64bc40445918cf8bc34dc40e334,249 (2.71%) cases unknown sex
Iowa,78,29/05/2020,,18791,NA,51,NA,47,NA,NA,NA,NA,NA,520,270,NA,250,NA,https://coronavirus.iowa.gov/pages/case-counts,376 cases unknown sex
Missouri,79,29/05/2020,,12673,6826,NA,5726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://mophep.maps.arcgis.com/apps/MapSeries/index.html?appid=8e01a5d8d8bd4b4f85add006f9e14a9d,121 cases unknown sex
Connecticut,80,28/05/2020,,41559,18662,NA,22702,NA,NA,NA,NA,NA,NA,3826,1858,NA,1962,NA,https://portal.ct.gov/-/media/Coronavirus/CTDPHCOVID19summary5282020.pdf?la=en,
Rhode Island,81,29/05/2020,,14635,NA,44,NA,56,NA,NA,NA,NA,NA,693,,47,,53,https://ri-department-of-health-covid-19-data-rihealth.hub.arcgis.com/,
New Hampshire,82,18/05/2020,,3652,2006,NA,1617,NA,NA,NA,NA,NA,NA,172,92,NA,80,NA,https://www.dhhs.nh.gov/dphs/cdcs/covid19/documents/covid-weekly-report-05182020.pdf,29 cases unknown sex
Vermont,83,29/05/2020,,975,458,NA,513,NA,NA,NA,NA,NA,NA,55,31,NA,24,NA,https://vcgi.maps.arcgis.com/apps/opsdashboard/index.html#/6128a0bc9ae14e98a686b635001ef7a7,4 cases unknown sex
Maine,84,29/05/2020,,2226,1072,NA,1154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml#situation,
Oklahoma,85,29/05/2020,,6338,2986,NA,3338,NA,NA,NA,NA,NA,NA,329,171,NA,158,NA,https://coronavirus.health.ok.gov/,14 cases unknown sex
Alaska,86,29/05/2020,,430,NA,51.2,NA,48.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://coronavirus-response-alaska-dhss.hub.arcgis.com/,
Arizona,87,29/05/2020,,18465,8679,47,9756,53,NA,NA,NA,NA,NA,885,486,55,398,45,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/covid-19/dashboards/index.php,30 cases unknown
Colorado,88,29/05/2020,,25121,NA,48.12,NA,50.79,NA,NA,NA,NA,NA,1421,NA,55.52,NA,44.19,https://covid19.colorado.gov/data/case-data,1.09% cases unknown sex; 0.28% deaths unknown sex
Delaware,89,29/05/2020,,9236,4117,NA,5091,NA,NA,NA,NA,NA,NA,356,169,NA,187,NA,https://myhealthycommunity.dhss.delaware.gov/locations/state,28 cases unknown sex
West Virginia,90,29/05/2020,,1951,911,NA,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dhhr.wv.gov/COVID-19/Pages/default.aspx,16 cases unknown sex
Oregon,91,19/05/2020,,3660,1727,NA,1929,NA,NA,NA,NA,NA,NA,138,80,NA,58,NA,https://www.oregon.gov/oha/PH/DISEASESCONDITIONS/DISEASESAZ/Emerging%20Respitory%20Infections/COVID-19-Weekly-Report-2020-05-19-FINAL.pdf,4 cases unknown sex
North Dakota,92,29/05/2020,,2520,1188,NA,1332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,
New Mexico,93,29/05/2020,,7364,3462,NA,3764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://cvprovider.nmhealth.org/public-dashboard.html,138 cases unknown sex
Nevada,94,29/05/2020,,8350,3887,NA,4142,NA,NA,NA,NA,NA,NA,410,237,NA,171,NA,https://nvhealthresponse.nv.gov/,321 cases unknown sex
Montana,95,15/05/2020,,468,NA,48,NA,52,NA,NA,NA,NA,NA,16,,56,,44,https://dphhs.mt.gov/Portals/85/publichealth/documents/CDEpi/DiseasesAtoZ/2019-nCoV/COVID%20Report%205%2019%2020.pdf,
Kansas,96,29/05/2020,,9719,5358,NA,4180,NA,NA,NA,NA,NA,NA,208,107,NA,101,NA,https://www.coronavirus.kdheks.gov/160/COVID-19-in-Kansas,181 cases unknown sex
Idaho,97,29/05/2020,,2769,1249,NA,1513,NA,NA,NA,NA,NA,NA,82,39,NA,43,NA,https://public.tableau.com/profile/idaho.division.of.public.health#!/vizhome/DPHIdahoCOVID-19Dashboard_V2/Story1,7 cases unknown sex
Wyoming,98,29/05/2020,,667,NA,49.6,NA,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/covid-19-map-and-statistics/,10 cases unknown sex
