job,lower,upper,delta,tot_l,tot_u,time,in_bounds,mean_cp,na_lower,mean_lower,med_lower,na_upper,mean_upper,med_upper,min_len,mean_len,med_len,max_len,global_mean_cp,global_na_lower,global_mean_lower,global_median_lower,global_na_upper,global_mean_upper,global_median_upper,global_min_len,global_mean_len,global_median_len,global_max_len
2,0.3841412,0.8569813,0.47284009999999993,0,0,162.899,1,1,0,0.27617083000000003,0.24570275,0,0.75558611,0.76877275,0.4070246,0.47941528,0.46955075,0.5711173,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
2,0.3380945,0.7780526,0.43995809999999996,0,0,201.165,1,1,0,0.27617083000000003,0.24570275,0,0.75558611,0.76877275,0.4070246,0.47941528,0.46955075,0.5711173,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
2,0.4151792,0.8990323,0.4838531,0,0,149.273,1,1,0,0.27617083000000003,0.24570275,0,0.75558611,0.76877275,0.4070246,0.47941528,0.46955075,0.5711173,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.3479943,0.7794131,0.4314188,0,0,212.44,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.2689776,0.8022129,0.5332353000000001,0,0,197.25,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.2721127,0.7793159,0.5072032,0,0,196.098,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.2538384,0.7977943,0.5439558999999999,0,0,191.086,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.1923682,0.7004302,0.508062,0,0,198.193,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.247426,0.7412645,0.49383849999999996,0,0,201.188,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.3106076,0.8163582,0.5057506,0,0,178.761,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.2373066,0.7112648,0.4739582,0,0,195.655,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.2995997,0.86,0.5604003,0,0,159.879,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
3,0.2594154,0.7645982,0.5051828,0,0,185.991,1,1,0,0.26896465,0.2641965,0,0.77526521,0.7793645,0.4314188,0.50630056,0.5064769,0.5604003,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
